gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,2.0,2026-06-24 01:19:48 UTC,2.0,1.7163,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,34.0,2026-06-24 01:19:33 UTC,34.0,1.7163,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not tie,1X2,41.0,2026-06-24 01:19:23 UTC,41.0,1.7163,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Panama vs England,FIFA World Cup ,Panama +2.5,Asian Handicap (2.5),14.0,2026-06-24 01:19:10 UTC,14.0,1.5913,Yes,0x42B4CF407654a8469d1Cf3606712C1f30599B2C5
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:18:13 UTC,0.0,1.16,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:17:26 UTC,0.0,1.1663,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:17:23 UTC,0.0,1.1675,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,65.0,2026-06-24 01:17:22 UTC,65.0,1.1687,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:17:22 UTC,0.0,1.1687,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:15:54 UTC,0.0,1.1612,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,10.0,2026-06-24 01:15:16 UTC,10.0,1.1612,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:15:08 UTC,0.0,1.1612,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,0.0,2026-06-24 01:15:06 UTC,0.0,1.1612,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,3.0,2026-06-24 01:14:50 UTC,3.0,1.1612,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Ghana,1X2,17.0,2026-06-24 01:14:49 UTC,17.0,1.1612,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-25 23:00:00 UTC,Tunisia vs Netherlands,FIFA World Cup ,Under 6.5,Under/Over (6.5),311.0,2026-06-24 01:12:44 UTC,311.0,1.9438,Yes,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2
